cycle_id,num_testsuite,NORMALIZED_FPA,accuracy,total_failures_in_cycle,exec_time,optimal_failures_25%,failures_in_25%_ordered,optimal_exec_time_25%,exec_time_25%,optimal_failures_50%,failures_in_50%_ordered,optimal_exec_time_50%,exec_time_50%,optimal_failures_75%,failures_in_75%_ordered,optimal_exec_time_75%,exec_time_75%
4aa4291ffc143486757617b743c9670001f8a7cd,9,0.6912280701754385,0.8888888888888888,0,0.118,0,0,0.002,0.051000000000000004,0,0,0.004,0.095,0,0,0.011,0.101
ae6a24dd439a7b778e35b484a3a6eae1a8eb64d7,9,0.8526315789473685,0.8888888888888888,0,0.125,0,0,0.001,0.017,0,0,0.003,0.023000000000000003,0,0,0.01,0.068
f56931c176fef5e164b681c740746aebdccccec3,15,0.8572580645161291,0.6666666666666666,0,5.629,0,0,0.004,0.156,0,0,0.032,0.8700000000000001,0,0,0.723,1.883
9379d0d36acdf78455e81518b3b1476c7691f056,47,0.6890537513997761,0.8936170212765957,0,0.6050000000000001,0,0,0.006,0.20500000000000002,0,0,0.047,0.32000000000000006,0,0,0.18100000000000005,0.42600000000000005
2521d9619fe1f052ced8ea1107851ac98a1b7488,47,0.7228443449048152,0.8297872340425532,0,0.613,0,0,0.007,0.179,0,0,0.052,0.2760000000000001,0,0,0.21300000000000002,0.37
625fbccaa9c42d5efbe4993e9701d8db0b53f5e9,47,0.7328107502799551,0.7659574468085106,0,0.726,0,0,0.009000000000000001,0.182,0,0,0.074,0.468,0,0,0.253,0.531
7721302ae5d70d2986d74ae7e7df648bf849997d,47,0.8008958566629341,0.7446808510638298,0,0.671,0,0,0.003,0.09600000000000002,0,0,0.045,0.23400000000000004,0,0,0.20199999999999999,0.35500000000000004
96f3ab841096b6a480b4cae99bb05aebce1ff92d,47,0.7669652855543113,0.8085106382978723,0,0.6080000000000001,0,0,0.005,0.173,0,0,0.046,0.24100000000000005,0,0,0.202,0.38300000000000006
ec2ec774925cb845f85a82f85c32d0019de31f01,47,0.748656215005599,0.7872340425531915,0,0.6730000000000002,0,0,0.004,0.19699999999999998,0,0,0.051,0.4170000000000001,0,0,0.22099999999999997,0.512
1cec9a6fe588c047daa6c711814453840405561b,1,1.0,1.0,0,0.157,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
2cad60b6c25c87a6a59d3d315ec7d72c552fbc58,47,0.7089025755879059,0.8297872340425532,0,0.7260000000000001,0,0,0.006,0.21500000000000002,0,0,0.062000000000000006,0.47000000000000014,0,0,0.236,0.6170000000000001
0db3d81c93cb5a8142709ab657af59a046c6f7f4,8,0.8235294117647058,0.75,0,0.797,0,0,0.005,0.042,0,0,0.047,0.165,0,0,0.101,0.196
a36c903d4f1065bc59f5e6d2bb0f9d92a5e71d83,43,0.7401399722971495,0.7906976744186046,0,5.282000000000001,0,0,0.0,0.07200000000000001,0,0,0.015,0.273,0,0,0.14400000000000002,5.182
3dbc94481291a99ecf28d47b3f338df99d96df40,47,0.740313549832027,0.574468085106383,0,0.521,0,0,0.003,0.096,0,0,0.036000000000000004,0.257,0,0,0.16300000000000003,0.395
0bca64d75e1a54b64b91917bdbeebde56ac177fb,49,0.7787260358688931,0.8571428571428571,0,5.958,0,0,0.002,0.129,0,0,0.033,0.374,0,0,0.16800000000000004,0.4740000000000001
08aa21f9217df0a28d48be5be5db03ddf4867140,24,0.7291836734693877,0.5416666666666666,0,0.406,0,0,0.01,0.17300000000000001,0,0,0.047,0.22800000000000004,0,0,0.129,0.3440000000000001
b31877a46009d5ee52af9b5f737dabe241689931,24,0.8175510204081633,0.9583333333333334,0,0.413,0,0,0.006,0.087,0,0,0.043000000000000003,0.22699999999999998,0,0,0.156,0.31300000000000006
